,start,end,duration,magnitude,severity
0,1946-09-01 00:00:00,1947-10-01 00:00:00,14,-7.549244385126516,-1.3024766446461888
1,1949-04-01 00:00:00,1950-12-01 00:00:00,21,-16.758885533349012,-1.807479536034141
2,1954-01-01 00:00:00,1955-09-01 00:00:00,21,-24.393917075394796,-1.5128812981528648
3,1957-04-01 00:00:00,1958-04-01 00:00:00,13,-10.47612710187382,-1.3809839339142598
4,1959-04-01 00:00:00,1960-07-01 00:00:00,16,-11.667793849129387,-1.2541720584300644
5,1962-02-01 00:00:00,1967-11-01 00:00:00,70,-92.26063222241363,-2.2375676656708436
6,1980-09-01 00:00:00,1983-03-01 00:00:00,31,-23.895046032222037,-1.7655098722707536
7,1985-04-01 00:00:00,1986-02-01 00:00:00,11,-13.759982526732488,-1.8892693712244855
8,1988-04-01 00:00:00,1989-08-01 00:00:00,17,-10.894539830780255,-1.682285097558829
9,1991-10-01 00:00:00,1992-12-01 00:00:00,15,-13.794445613875034,-1.4427673375898795
10,1995-04-01 00:00:00,1996-01-01 00:00:00,10,-6.9294382182441785,-1.1996831279435654
11,1999-03-01 00:00:00,2000-07-01 00:00:00,17,-14.365457711484245,-1.5556425010908002
12,2001-05-01 00:00:00,2003-03-01 00:00:00,23,-32.221493090979855,-2.6939448691064016
13,2014-06-01 00:00:00,2018-07-01 00:00:00,50,-56.108672770951856,-2.776144635976181
