,start,end,duration,magnitude,severity
0,1976-05-01 00:00:00,1977-10-01 00:00:00,18,-13.576071034745262,-1.7095515607051344
1,1981-01-01 00:00:00,1984-11-01 00:00:00,47,-38.53965820254002,-1.697951480210601
2,1986-04-01 00:00:00,1989-03-01 00:00:00,36,-24.08003264834953,-1.2891810697057682
3,1990-04-01 00:00:00,1992-05-01 00:00:00,26,-31.482909686558575,-2.848565167549132
4,2004-07-01 00:00:00,2005-11-01 00:00:00,17,-9.554306012030604,-1.3173369348233812
5,2007-04-01 00:00:00,2008-05-01 00:00:00,14,-7.966950499460072,-1.3974431382783534
6,2013-03-01 00:00:00,2013-12-01 00:00:00,10,-8.230587833107075,-1.217251212852444
7,1971-05-01 00:00:00,1973-02-01 00:00:00,22,-18.962184197764948,-1.955438760956257
8,1975-03-01 00:00:00,1975-10-01 00:00:00,8,-3.2812949574262635,-1.0442256314650629
9,1985-10-01 00:00:00,1988-12-01 00:00:00,39,-14.642063113141795,-1.1555301367507054
10,1992-05-01 00:00:00,1993-01-01 00:00:00,9,-6.149525011392305,-1.0241071966394983
11,1993-11-01 00:00:00,1994-10-01 00:00:00,12,-7.245292001366592,-1.7818328113939828
12,2001-06-01 00:00:00,2002-05-01 00:00:00,12,-10.217652146221988,-1.8245822000218843
13,2003-04-01 00:00:00,2004-05-01 00:00:00,14,-10.336709611347425,-1.4707812457026028
14,2007-09-01 00:00:00,2009-03-01 00:00:00,19,-11.783151390644196,-1.0500283972123063
15,2011-01-01 00:00:00,2012-02-01 00:00:00,14,-9.048880819212172,-1.0539758451791785
16,2014-04-01 00:00:00,2015-12-01 00:00:00,21,-18.282946216953967,-1.5553079031350805
17,1973-04-01 00:00:00,1974-04-01 00:00:00,13,-8.397829566255357,-1.1091956897602209
18,1995-11-01 00:00:00,1997-07-01 00:00:00,21,-32.1927618723196,-3.126324298841553
19,1999-03-01 00:00:00,2004-03-01 00:00:00,61,-66.80721940641305,-2.590044376955809
20,2010-05-01 00:00:00,2011-09-01 00:00:00,17,-9.091958865625973,-1.5186852857590867
21,1970-12-01 00:00:00,1972-11-01 00:00:00,24,-17.69611087188223,-1.6219124424945301
22,1973-12-01 00:00:00,1977-12-01 00:00:00,49,-26.887315931216794,-1.0023283123163422
23,1978-04-01 00:00:00,1984-04-01 00:00:00,73,-53.37021747690833,-2.13011018278569
24,1987-05-01 00:00:00,1990-04-01 00:00:00,36,-23.461965389071427,-1.8234130673298092
